product_id,id_web,price,total_sales,post_title,z_score
4130,15339,23.0,0,Zind-Humbrecht Pinot Gris Roche Calcaire 2017,0.3413505239982634
4137,13209,29.8,0,Zind-Humbrecht Muscat Grand Cru Goldert 2015,0.09683877821163162
4138,15341,25.7,6,Zind-Humbrecht Zind 2017,0.24426497787710078
4139,13217,77.4,0,Zind-Humbrecht Gewurztraminer Grand Cru Rangen De Thann Clos Saint-Urbain 2013,1.6147434422947906
4141,304,39.0,40,Champagne Gosset Grande Réserve,0.23397123079381124
4142,11641,53.0,30,Champagne Gosset Grand Millésime 2006,0.7373777662368766
4144,1662,49.0,87,Champagne Gosset Grand Rosé,0.5935473275388579
4146,1360,29.5,0,Champagne Mailly Grand Cru Brut Réserve,0.10762606111398304
4147,15648,33.0,3,Champagne Mailly Grand Cru Extra Brut Millésimé 2012,0.018225572746783276
4148,1364,37.5,0,Champagne Mailly Grand Cru Brut Rosé,0.18003481628205426
4149,7086,69.0,0,Champagne Mailly Grand Cru Intemporelle Rosé 2009,1.3126995210289512
4150,1366,59.0,1,Champagne Mailly Grand Cru Intemporelle 2010,0.9531234242839045
4151,15140,13.7,12,Elian Daros Côtes du Marmandais Abouriou 2016,0.6757562939711568
4152,16238,19.2,7,Elian Daros Côtes du Marmandais Chante Coucou 2016,0.4779894407613811
4153,16237,29.0,36,Elian Daros Côtes du Marmandais Clos Baquey 2015,0.12560486595123538
4154,15141,9.8,18,Elian Daros Côtes du Marmandais Le Vin Est Une Fête 2017,0.8159909717017249
4155,14944,14.5,3,Elian Daros Côtes du Marmandais Le Vignoble d'Elian 2016,0.646990206231553
4156,14941,20.35,6,Elian Daros Côtes du Marmandais Coucou Blanc 2016,0.43663818963570067
4157,14751,12.0,0,Planeta Sicilia Alastro 2017,0.7368842304178146
4158,16093,18.5,0,Planeta Sicilia Etna Rosso 2018,0.5031597675335343
4159,15668,9.3,3,Planeta Sicilia La Segreta Bianco 2017,0.8339697765389772
4160,15373,9.3,7,Planeta Sicilia La Segreta Rosso 2017,0.8339697765389772
4161,15375,11.6,0,Planeta Sicilia Plumbago 2017,0.7512672742876164
4162,14474,14.3,1,Domino Romano Ribera Del Duero Camino Romano 2016,0.6541817281664539
4163,15482,10.8,3,Parés Baltà Penedès Calcari 2018,0.7800333620272202
4164,13453,7.6,20,Parés Baltà Penedès Mas Petit 2015,0.8950977129856351
4165,15075,12.0,3,Parés Baltà Penedès Indigena 2017,0.7368842304178146
4166,16124,20.5,6,Ollieux Romanis Corbières Boutenac Atal Sia 2017,0.431244548184525
4167,15785,14.3,3,Ollieux Romanis Corbières Rouge Cuvée Prestige 2017,0.6541817281664539
4168,15784,18.2,12,Ollieux Romanis Corbières Blanc Cuvée Prestige 2018,0.5139470504358857
4170,15786,9.0,4,Ollieux Romanis Corbières Classique 2018,0.8447570594413286
4171,14332,7.8,1,Le Hameau Des Ollieux Monsieur Pinot 2017,0.8879061910507342
4172,16210,5.7,43,Maurel Pays d'Oc Chardonnay 2019,0.9634171713671941
4173,16211,5.7,13,Maurel Pays d'Oc Chenin-Colombard 2019,0.9634171713671941
4174,16209,5.7,6,Maurel Cabardès Tradition 2017,0.9634171713671941
4176,15629,13.5,9,Domaine de l'Hortus Pic Saint-Loup La Bergerie Rouge 2018,0.6829478159060577
4177,15583,13.5,0,Domaine de l'Hortus Val de Montferrand La Bergerie Blanc 2018,0.6829478159060577
4178,16160,11.5,17,Domaine de l'Hortus Pic Saint-Loup La Bergerie Rosé 2019,0.7548630352550669
4179,16166,24.0,7,Domaine de l'Hortus Pic Saint-Loup La Grande Cuvée 2018,0.3053929143237587
4180,15783,24.0,0,Domaine de l'Hortus Val de Montferrand La Grande Cuvée Blanc 2018,0.3053929143237587
4181,16560,11.9,9,Borie La Vitarèle Saint-Chinian Les Terres Blanches 2019,0.7404799913852652
4182,15747,16.7,3,Borie La Vitarèle Saint-Chinian Les Schistes 2017,0.5678834649476427
4183,15746,21.4,0,Borie La Vitarèle Saint-Chinian Les Crès 2016,0.39888269947747085
4186,16190,16.6,1,Le Pas de l'Escalette Terrasses du Larzac Les Clapas Rouge 2018,0.5714792259150931
4187,16189,13.3,42,Le Pas de l'Escalette Languedoc Les Petits Pas 2019,0.6901393378409586
4188,16265,9.5,8,Château de La Liquière Languedoc Blanc Les Amandiers 2019,0.8267782546040763
4190,16191,12.1,5,Le Pas de l'Escalette Coteaux du Languedoc Ze Rozé 2019,0.7332884694503641
4191,16263,9.3,12,Château de La Liquière Faugères Les Amandiers Rouge 2019,0.8339697765389772
4192,15605,17.8,5,Château de La Liquière Faugères Cistus Rouge 2017,0.5283300943056876
4193,16529,13.5,8,Château de La Liquière Faugères Cistus Blanc 2019,0.6829478159060577
4194,15441,10.8,9,Château de La Liquière Faugères 2017,0.7800333620272202
4196,13032,27.2,2,Château de La Liquière Faugères Tucade 2015,0.1903285633653438
4197,16256,9.4,8,Château de La Liquière Faugères Les Amandiers Rosé 2019,0.8303740155715268
4198,16322,5.8,0,Moulin de Gassac IGP Pays d'Hérault Guilhem Rouge 2019,0.9598214103997436
4200,16295,5.8,46,Moulin de Gassac IGP Pays d'Hérault Guilhem Rosé 2019,0.9598214103997436
4201,15656,38.0,0,Mas de Daumas Gassac IGP Saint-Guilhem-le-Désert 2018,0.1980136211193066
4202,15655,38.0,0,Mas de Daumas Gassac IGP Saint-Guilhem-le-Désert Blanc 2019,0.1980136211193066
4203,15415,9.9,6,Mas Laval IGP Pays d'Hérault Les Pampres Blancs 2018,0.8123952107342745
4204,15414,11.3,3,Mas Laval IGP Pays d'Hérault Les Pampres Rouges 2017,0.7620545571899678
4205,15413,23.0,12,Mas Laval Terrasses du Larzac La Grande Cuvée 2016,0.3413505239982634
4207,16023,6.7,5,Domaine Montrose Côtes de Thongue Rouge 2018,0.9274595616926894
4208,16024,7.6,16,Domaine Montrose Côtes de Thongue Rosé 2019,0.8950977129856351
4210,15720,79.8,0,Lucien Boillot Nuits-Saint-Georges 1er Cru Les Pruliers 2017,1.7010417055136013
4211,15714,48.5,1,Lucien Boillot Pommard 2017,0.5755685227016055
4212,15717,39.8,2,Lucien Boillot Volnay 2017,0.26273731853341487
4213,15718,58.8,0,Lucien Boillot Volnay 1er Cru Les Angles 2017,0.9459319023490035
4215,15480,26.5,0,Marc Colin Et Fils Saint-Aubin Blanc Luce 2017,0.21549889013749704
4216,15213,13.4,1,Domaine de l'Ecu Muscadet Classic 2018,0.6865435768735082
4217,15672,17.1,0,Domaine de l'Ecu Muscadet Granite 2018,0.5535004210778408
4219,12599,16.7,1,Domaine de l'Ecu Muscadet Orthogneiss 2014,0.5678834649476427
4220,15758,11.6,12,Xavier Frissant Touraine Amboise Chenin Les Pierres 2018,0.7512672742876164
4221,15829,12.8,15,Xavier Frissant Touraine Les Roses du Clos 2018,0.7081181426782109
4222,15759,8.9,4,Xavier Frissant Touraine Amboise M de La Touche 2016,0.8483528204087791
4223,16585,9.7,3,Xavier Frissant Touraine Sauvignon 2019,0.8195867326691754
4224,15306,17.2,2,Pierre Martin Sancerre Chavignol Rouge 2017,0.5499046601103904
4225,16497,16.9,13,Pierre Martin Sancerre Chavignol Blanc 2019,0.5606919430127418
4227,15261,12.6,6,La Cotelleraie Saint-Nicolas-de-Bourgueil La Croisée 2018,0.7153096646131117
4228,12657,29.9,0,Domaine de Bellivière Jasnières Les Rosiers 2015,0.09324301724418123
4229,15403,9.6,0,Mérieau Touraine L'Arpent des Vaudons 2018,0.8231824936366258
4231,15461,11.1,1,Argentine Mendoza Alamos Malbec 2018,0.7692460791248688
4232,16269,11.1,2,Argentine Mendoza Alamos Chardonnay 2019,0.7692460791248688
4235,13905,17.1,1,Maroc Graillot/Thaleb Tandem Syrah 2015,0.5535004210778408
4239,16567,28.0,0,Domaine Augustin Collioure Blanc Adéodat 2019,0.16156247562574003
4240,15436,28.0,0,Domaine Augustin Collioure Rouge Adéodat 2017,0.16156247562574003
4241,14725,8.9,1,Parcé Frères IGP Côtes Catalanes Hommage à Fernand Blanc 2019,0.8483528204087791
4242,15310,8.6,14,Parcé Frères Côtes du Roussillon Villages Zoé Rouge 2018,0.8591401033111304
4244,15770,13.5,5,La Préceptorie Côtes du Roussillon Coume Marie 2018,0.6829478159060577
4245,16097,8.9,1,Parcé Frères IGP Pays d'Oc Zoé Viognier 2019,0.8483528204087791
4246,15428,15.3,7,Domaine Saint-Denis Mâcon Lugny 2017,0.6182241184919492
4248,15033,14.8,12,Domaine Saint-Denis Mâcon Chardonnay 2017,0.6362029233292016
4250,16317,19.5,30,Domaine Saint-Denis Bourgogne Rouge Clos de la Coque 2018,0.4672021578590297
4251,15032,14.1,8,Domaine Saint-Denis Bourgogne Rouge Le Clos 2017,0.6613732501013548
4253,6616,59.6,0,Domaine Huet Vouvray Le Clos du Bourg Moelleux Première Trie 2008,0.9746979900886074
