product_id,id_web,price,total_sales,post_title,ca_par_bouteille
5803,13572,17.1,3,Château Tour Haut-Caussan Médoc 2015,51.3
5804,14955,25.0,1,Château Le Puy Bordeaux Côtes-de-Francs Emilien 2016,25.0
5806,13567,17.4,2,Château La Croix Meunier Saint-Emilion Grand Cru 2014,34.8
5807,15471,27.3,4,Château d'Arcole Saint-Emilion Grand Cru 2016,109.2
5809,15080,17.9,0,Château Tour De Pez Saint-Estèphe Les Hauts de Pez 2016,0.0
5810,14429,24.0,0,Château Tour De Pez Saint-Estèphe 2017,0.0
5815,15238,16.6,1,Maison Trimbach Muscat Réserve 2017,16.6
5816,15237,16.9,0,Maison Trimbach Riesling 2017,0.0
5817,14600,57.6,0,Maison Trimbach Riesling Grand Cru Geisberg 2012,0.0
5818,15241,63.5,0,Maison Trimbach Riesling Grand Cru Schlossberg 2015,0.0
5819,11933,56.0,1,Maison Trimbach Riesling Cuvée Frédéric Emile 2008,56.0
5820,15240,63.5,0,Maison Trimbach Riesling Cuvée Frédéric Emile 2012,0.0
5826,15325,41.2,4,Agnès Levet Côte Rôtie Améthyste 2017,164.8
5827,15328,55.0,3,Agnès Levet Côte Rôtie Maestria 2017,165.0
5829,15329,57.0,3,Agnès Levet Côte Rôtie Péroline 2017,171.0
5890,15775,19.3,0,Saumaize-Michelin Saint-Véran Les Crèches 2018,0.0
5891,15774,19.0,1,Saumaize-Michelin Viré-Clessé 2018,19.0
5892,14983,191.3,3,Coteaux Champenois Egly-Ouriet Ambonnay Rouge 2016,573.9
5893,13910,26.6,5,Gilbert Picq Chablis 1er Cru Vaucoupin 2016,133.0
5894,16539,15.4,5,Thevenet Quintaine Viré-Clessé Emilian Gillet 2017,77.0
5896,15910,24.7,0,Thevenet Quintaine Viré-Clessé La Bongran 2015,0.0
5899,12339,28.1,4,Stéphane Tissot Arbois Blanc Les Bruyères 2015,112.4
5900,12869,18.25,0,Stéphane Tissot Arbois D.D. 2016,0.0
5902,14095,35.1,0,Stéphane Tissot Arbois Pinot Noir Sous La Tour 2016,0.0
5903,14099,27.3,0,Stéphane Tissot Arbois Trousseau Singulier 2017,0.0
5904,15856,18.8,0,Domaine de Montbourgeau Côtes du Jura Poulsard 2018,0.0
5905,12881,43.9,2,Domaine de Montbourgeau L'Etoile Vin Jaune 2009,87.8
5906,15857,19.8,0,Domaine de Montbourgeau L'Etoile En Banode 2016,0.0
5907,12882,17.7,0,Domaine de Montbourgeau Vin de Paille 2013,0.0
5912,15227,57.0,0,Kingsbarns Distillery Lowland Single Malt Whisky,0.0
5913,10014,36.0,0,Darnley's London Dry Gin Original,0.0
5914,14265,36.0,1,Darnley's London Dry Gin Spiced,36.0
5916,14774,93.0,0,Wemyss Malts Single Cask Scotch Whisky Chocolate Moka Cake 2005 Strathclyde,0.0
5917,14775,122.0,0,Wemyss Malts Single Cask Scotch Whisky Choc 'n' Nut Pretzel 2001 Bunnahabhain,0.0
5918,14773,114.0,0,Wemyss Malts Single Cask Scotch Whisky Chai Caramel Latte 2002 Craigellachie,0.0
5922,15343,48.5,17,Albert Mann Pinot Noir Clos de la Faille 2017,824.5
5925,15351,49.5,2,Albert Mann Riesling Grand Cru Furstentum 2017,99.0
5930,16323,14.1,1,Borie La Vitarèle Languedoc Blanc Le Grand Mayol 2019,14.1
5932,523,59.9,0,Cognac Normandin Mercier VFC,0.0
5950,15432,46.0,5,Domaine de Vaccelli AOP Ajaccio Rouge Granit 2016,230.0
5951,16472,74.5,0,Domaine de Vaccelli AOP Ajaccio Rouge Granit 174 2017,0.0
5956,15895,17.2,0,Clos du Prieur Terrasses du Larzac 2018,0.0
5958,15577,8.7,0,Domaine Labranche Laffont Madiran Tradition 2016,0.0
